code,count,freq,mean_r,mean_g,mean_b
0,1821,0.05690625,0.07254547447698546,0.035516944414701254,0.027153834926638545
1,10107,0.31584375,0.028290979143265647,0.028222354128956795,0.028222354128956795
2,0,0.0,0.0,0.0,0.0
3,2055,0.06421875,0.3084507347349703,0.20369846739980715,0.07128804993867838
4,0,0.0,0.0,0.0,0.0
5,0,0.0,0.0,0.0,0.0
6,14013,0.43790625,0.3576022839327333,0.3758128195148221,0.35308084923115773
7,1645,0.05140625,0.5053967510585002,0.3029427428874201,0.011568329102815465
8,0,0.0,0.0,0.0,0.0
9,0,0.0,0.0,0.0,0.0
10,2359,0.07371875,0.26560204149543254,0.13576413047369276,0.01459380048759449
11,0,0.0,0.0,0.0,0.0
12,0,0.0,0.0,0.0,0.0
13,0,0.0,0.0,0.0,0.0
14,0,0.0,0.0,0.0,0.0
15,0,0.0,0.0,0.0,0.0
