code,count,freq,mean_r,mean_g,mean_b
0,0,0.0,0.0,0.0,0.0
1,0,0.0,0.0,0.0,0.0
2,10175,0.31796875,0.15798113275072206,0.08935126952424242,0.023411818661564544
3,0,0.0,0.0,0.0,0.0
4,0,0.0,0.0,0.0,0.0
5,0,0.0,0.0,0.0,0.0
6,0,0.0,0.0,0.0,0.0
7,0,0.0,0.0,0.0,0.0
8,0,0.0,0.0,0.0,0.0
9,0,0.0,0.0,0.0,0.0
10,0,0.0,0.0,0.0,0.0
11,0,0.0,0.0,0.0,0.0
12,7325,0.22890625,0.1015912408702101,0.0595732146359141,0.02568170347521177
13,0,0.0,0.0,0.0,0.0
14,0,0.0,0.0,0.0,0.0
15,14500,0.453125,0.3565040211116831,0.3798531386585071,0.3486918823013789
