group,variant,seed,best_reward,final_reward,probe_overall,probe_door,probe_key,probe_goal,cb_dead,cb_active
A_dk16,cb512_thr2.0,1,0.1989,0.0000,98.4,0.4,0.4,0.4,212,300
A_dk16,cb256_thr1.0,1,0.2782,0.0000,96.1,0.4,0.4,0.4,11,245
B_dk8,v2,1,0.9988,0.9984,62.8,1.5,1.4,1.6,2,62
B_dk8,v5dc,1,0.9988,0.9980,93.4,1.6,1.4,1.6,4,60
B_dk8,v6,1,0.8710,0.1861,85.0,1.5,1.4,1.6,28,228
B_dk8,vae,1,0.7370,0.4289,NA,NA,NA,NA,NA,NA
B_dk8,v2,2,0.9988,0.9984,61.6,1.5,1.3,1.6,1,63
B_dk8,v5dc,2,0.9988,0.9979,86.8,1.5,1.4,1.6,0,64
B_dk8,v6,2,0.8720,0.5791,85.5,1.6,1.5,1.6,33,223
B_dk8,vae,2,0.9369,0.6969,NA,NA,NA,NA,NA,NA
