encoder,seed,best_reward,final_reward,overall_avg,probe_overall,probe_wall,probe_floor,probe_door,probe_key,probe_goal,probe_agent,codebook_util
v2,1,5.66,0.9984,0.9960,68.0,76.3,68.8,0.0,0.1,0.0,0.0,NA
v2,1,0.9988,0.9984,0.9960,67.8,48.9,45.0,1.8,1.5,1.2,1.6,NA
v2,2,0.9988,0.9975,0.9967,57.5,50.6,72.5,0.0,0.0,0.0,0.0,NA
v2,2,0.9988,0.9975,0.9967,55.6,50.1,43.0,2.5,1.5,1.2,1.6,NA
v2,3,0.9989,0.9986,0.9977,57.6,45.3,80.0,0.0,0.0,0.0,0.8,NA
v2,3,0.9989,0.9986,0.9977,58.0,50.5,43.5,1.8,1.4,1.2,1.5,NA
v5,1,5.22,0.9982,0.9969,,,,,,,,NA
v5,1,0.9987,0.9982,0.9969,79.5,51.6,42.3,1.6,1.4,1.6,1.6,NA
v5,2,5.27,0.9982,0.9963,,,,,,,,NA
v5,2,0.9988,0.9982,0.9963,74.1,51.6,42.4,1.5,1.3,1.6,1.6,NA
v5,3,5.16,0.9981,0.9975,,,,,,,,NA
v5,3,0.9988,0.9981,0.9975,91.5,51.6,42.3,1.6,1.4,1.6,1.6,NA
v6,1,6.02,0.9981,0.9423,69.5,51.6,42.4,1.6,1.4,1.6,1.6,NA
v6,1,0.9986,0.9981,0.9423,67.7,51.6,42.4,1.6,1.4,1.6,1.6,NA
v6,2,6.01,0.9982,0.9950,71.6,51.6,42.3,1.6,1.4,1.6,1.6,NA
v6,2,0.9987,0.9982,0.9950,70.6,51.6,42.4,1.6,1.4,1.6,1.6,NA
v6,3,6.06,0.9984,0.9954,70.0,51.6,42.4,1.5,1.4,1.6,1.6,NA
v6,3,0.9987,0.9984,0.9954,69.7,51.6,42.3,1.6,1.4,1.6,1.6,NA
v9,1,5.56,0.9984,0.9971,71.3,75.2,66.9,87.4,99.6,0.0,90.5,NA
v9,1,0.9988,0.9984,0.9971,70.0,51.6,42.3,1.6,1.4,1.6,1.6,NA
v9,2,5.56,0.9985,0.9971,,,,,,,,NA
v9,3,5.52,0.9980,0.9965,72.9,51.6,42.4,1.5,1.3,1.6,1.6,NA
v9,2,0.9988,0.9985,0.9971,75.5,51.6,42.4,1.5,1.4,1.6,1.6,NA
v9,3,0.9988,0.9980,0.9965,70.4,51.6,42.4,1.6,1.4,1.6,1.6,NA
