encoder,seed,env,best_reward,final_reward,overall_avg,probe_wall,probe_door,probe_key,probe_goal,probe_agent,wm_1_wall,wm_1_door,wm_1_key,wm_1_goal,wm_1_agent,wm_10_wall,wm_10_door,wm_10_key,wm_10_goal,wm_10_agent,r_1,r_5,r_10
v2,4,dk8,0.9988,0.9985,0.9970,0.2762,0.7915,0.5842,1.0000,0.3230,0.2323,0.1528,0.0016,0.1360,0.0143,0.2627,0.1282,0.0000,0.1060,0.0777,-0.309,-0.497,-0.537
v2,5,dk8,0.9988,0.9983,0.9976,0.3080,0.7076,0.4489,0.9635,0.3879,0.2731,0.0632,0.0033,0.6020,0.0110,0.3100,0.0725,0.0378,0.5580,0.0584,+0.465,+0.365,+0.372
v5dc,4,dk8,0.9987,0.9985,0.9967,0.7064,0.9005,0.5730,0.9972,0.3156,0.7127,0.0000,0.0000,0.7360,0.0000,0.7153,0.0000,0.0020,0.7200,0.0340,+0.438,+0.466,+0.436
v5dc,5,dk8,0.9988,0.9984,0.9962,0.2503,0.9063,0.5161,0.7445,0.3351,0.7984,0.0180,0.0240,0.9780,0.0060,0.8062,0.0320,0.0060,1.0000,0.0680,-0.088,-0.089,-0.092
v6,4,dk8,0.9988,0.9983,0.9953,0.2727,0.7653,0.4969,0.7631,0.4002,0.4620,0.0580,0.0040,0.8940,0.0020,0.4527,0.0580,0.0040,0.8540,0.0200,+0.252,+0.271,+0.270
v6,5,dk8,0.9397,0.9019,0.6084,0.6581,0.9769,0.5131,1.0000,0.5893,0.6206,0.0440,0.0600,0.9980,0.0300,0.5973,0.0480,0.0940,1.0000,0.0880,+0.415,+0.430,+0.424
vae,1,dk8,0.8763,0.4691,0.4526,0.5901,0.9183,0.5842,0.9261,0.3558,0.0159,0.0280,0.0140,0.0120,0.0180,0.0167,0.0240,0.0360,0.0160,0.0180,+0.329,+0.906,+0.164
vae,2,dk8,0.9661,0.8045,0.6506,0.6850,0.9935,0.7728,1.0000,0.5985,0.0138,0.0080,0.0040,0.0100,0.0060,0.0141,0.0080,0.0040,0.0020,0.0060,-0.236,+0.016,-0.623
vae,3,dk8,0.9988,0.9977,0.9961,0.5990,0.9667,0.6646,0.9928,0.4973,0.0145,0.0080,0.0060,0.0000,0.0100,0.0142,0.0100,0.0040,0.0020,0.0000,-0.766,-0.336,-0.277
vae,4,dk8,0.9988,0.9984,0.9955,0.5955,0.9915,0.6742,0.9966,0.5447,0.0194,0.0200,0.0180,0.0240,0.0120,0.0148,0.0160,0.0220,0.0080,0.0200,+0.814,-0.511,-0.608
vae,5,dk8,0.9987,0.9981,0.9960,0.6297,0.9782,0.6507,0.9996,0.4537,0.0185,0.0180,0.0000,0.0120,0.0180,0.0143,0.0160,0.0040,0.0120,0.0140,+0.012,-0.157,+0.063
