encoder,seed,probe_wall,probe_door,probe_key,probe_goal,probe_agent,wm_1_wall,wm_1_door,wm_1_key,wm_1_goal,wm_1_agent,wm_5_wall,wm_5_door,wm_5_key,wm_5_goal,wm_5_agent,r_1,r_3,r_5,r_10
v2,1,0.4527,0.6084,0.5431,0.9519,0.2921,0.1659,0.0316,0.0016,0.0060,0.0128,0.1871,0.0110,0.0049,0.0220,0.0273,-0.397,-0.393,-0.373,-0.401
v2,2,0.3566,0.5649,0.5429,1.0000,0.3693,0.3819,0.2281,0.0016,0.5640,0.0144,0.3532,0.2321,0.0048,0.4080,0.0514,+0.283,+0.142,+0.093,+0.110
v2,3,0.3619,0.9245,0.3860,1.0000,0.3552,0.4538,0.3012,0.0000,0.3180,0.0097,0.4763,0.2957,0.0063,0.3900,0.0550,+0.203,+0.298,+0.257,+0.225
v5,1,0.1926,0.6857,0.4023,0.7893,0.3669,0.6634,0.0020,0.0000,0.2920,0.0000,0.6854,0.0180,0.0000,0.1700,0.0220,-0.447,-0.572,-0.584,-0.601
v5,2,0.1869,0.4164,0.3193,0.8302,0.3919,0.6850,0.0500,0.0360,1.0000,0.0080,0.7007,0.0000,0.0800,1.0000,0.0600,+0.437,+0.437,+0.436,+0.439
v5,3,0.4486,0.8109,0.5796,1.0000,0.3283,0.7048,0.0000,0.0020,0.7820,0.0100,0.7288,0.0000,0.0060,0.7840,0.0200,+0.293,+0.263,+0.257,+0.255
v6,1,0.2818,0.6267,0.5206,0.9009,0.5342,0.4882,0.0020,0.0000,0.7880,0.0000,0.4730,0.0000,0.0000,0.7980,0.0020,+0.248,+0.252,+0.258,+0.254
v6,2,0.3994,0.9997,0.6135,0.9948,0.3694,0.5286,0.0120,0.0000,0.8360,0.0020,0.5246,0.0100,0.0000,0.9040,0.0140,+0.248,+0.266,+0.262,+0.247
v6,3,0.3686,0.9711,0.5936,0.9871,0.3851,0.4333,0.0020,0.0000,0.6460,0.0000,0.4039,0.0000,0.0000,0.6420,0.0040,+0.145,+0.157,+0.162,+0.165
v9,1,0.3094,0.8578,0.5698,0.9826,0.5081,0.3141,0.0180,0.0000,0.9140,0.0020,0.3842,0.0080,0.0000,0.9000,0.0040,+0.503,+0.449,+0.428,+0.427
v9,2,0.4838,0.9819,0.5743,0.9784,0.5195,0.4711,0.0020,0.0040,0.8800,0.0060,0.4136,0.0000,0.0000,0.9280,0.0040,+0.330,+0.405,+0.404,+0.400
v9,3,0.3728,0.7587,0.7065,0.9862,0.4782,0.3836,0.0000,0.0000,0.0260,0.0000,0.3462,0.0000,0.0000,0.0120,0.0060,-0.526,-0.555,-0.561,-0.579
